Year,Company,Region,Product Category,Sub-Category,Revenue (USD),Profit (USD),Units Sold,Customer Segment
2019,Apple,Asia-Pacific,Consumer Electronics,Tablets,22913523,7862934,8481,Retail
2017,Microsoft,North America,Hardware,PC Accessories,25022736,10103869,9732,Enterprise
2018,Microsoft,Europe,Software,Operating Systems,13037369,2816595,3500,Retail
2022,Microsoft,Global,Cloud Services,Azure Subscriptions,43221834,5468868,8340,Small & Medium Business
2018,Apple,Europe,Wearables,Fitness Bands,49903139,14445324,2884,Small & Medium Business
2019,Apple,North America,Accessories,AirPods,15516934,6321760,6308,Small & Medium Business
2014,Apple,Asia-Pacific,Wearables,Apple Watch,35800954,12055294,9439,Retail
2020,Apple,Asia-Pacific,Accessories,AirPods,29123275,4735545,9271,Education
2014,Microsoft,North America,Cloud Services,Azure Subscriptions,3233781,1102996,9361,Education
2014,Microsoft,Global,Gaming,Games,49932796,19148506,2972,Small & Medium Business
2023,Apple,Europe,Consumer Electronics,Tablets,38451886,16179437,3383,Retail
2023,Apple,North America,Services,Apple Music,27786830,8614994,8202,Enterprise
2016,Apple,Europe,Services,Apple Music,23398032,4119330,2485,Education
2015,Apple,South America,Wearables,Apple Watch,27466761,7184089,4072,Small & Medium Business
2017,Microsoft,Africa,Gaming,Xbox Consoles,3768491,1303148,5030,Retail
2019,Microsoft,Asia-Pacific,Software,Office Suite,34359468,11181886,3134,Retail
2016,Apple,Asia-Pacific,Services,iCloud,3587312,1058842,8296,Enterprise
2020,Apple,Europe,Accessories,Chargers,24238360,7936535,7023,Enterprise
2017,Apple,Global,Consumer Electronics,Smartphones,31828725,13142242,5806,Retail
2014,Apple,Asia-Pacific,Accessories,Chargers,8908550,2886666,1588,Small & Medium Business
2015,Microsoft,South America,Cloud Services,Azure Subscriptions,25587654,7705296,1320,Education
2017,Apple,Africa,Wearables,Fitness Bands,45318208,15552509,6665,Enterprise
2014,Microsoft,Europe,Gaming,Games,34750585,6541224,3118,Enterprise
2015,Microsoft,Asia-Pacific,Cloud Services,Enterprise Solutions,13672563,4926180,2380,Retail
2021,Apple,Africa,Services,iCloud,2204021,401108,6760,Enterprise
2018,Apple,Global,Consumer Electronics,Tablets,8741828,1666100,9470,Retail
2023,Microsoft,Europe,Cloud Services,Azure Subscriptions,46796247,10182504,8792,Retail
2023,Apple,Africa,Services,iCloud,9576857,2393562,5988,Small & Medium Business
2014,Microsoft,South America,Cloud Services,Enterprise Solutions,44250273,15905100,5801,Enterprise
2019,Apple,South America,Services,Apple Music,24540764,7973808,1935,Small & Medium Business
2023,Apple,North America,Services,Apple Music,16828595,5313853,8966,Education
2022,Apple,Africa,Consumer Electronics,Smartphones,42436966,8659389,2855,Retail
2015,Microsoft,Africa,Software,Operating Systems,49545487,11929190,4417,Small & Medium Business
2020,Apple,Global,Wearables,Apple Watch,35310794,14197342,684,Small & Medium Business
2016,Apple,South America,Services,Apple Music,2890046,639203,1771,Retail
2019,Microsoft,South America,Gaming,Xbox Consoles,24146721,8917764,2853,Enterprise
2019,Apple,Europe,Services,iCloud,24183328,4395152,6762,Small & Medium Business
2019,Microsoft,Africa,Cloud Services,Azure Subscriptions,31546001,3215121,9898,Education
2015,Apple,North America,Consumer Electronics,Tablets,14871042,5731050,2158,Enterprise
2023,Microsoft,North America,Hardware,PC Accessories,2015290,277663,7871,Education
2022,Microsoft,North America,Cloud Services,Azure Subscriptions,2249554,568645,6632,Retail
2021,Apple,Africa,Consumer Electronics,Tablets,4939545,1826881,3943,Retail
2021,Apple,Asia-Pacific,Accessories,Chargers,31884732,11996351,3984,Retail
2021,Microsoft,North America,Cloud Services,Enterprise Solutions,49012748,19302208,7838,Enterprise
2020,Apple,Africa,Services,iCloud,9826674,1172318,8727,Enterprise
2022,Microsoft,Europe,Gaming,Games,31557185,9564836,7384,Small & Medium Business
2019,Apple,South America,Services,Apple Music,5860355,1218077,2063,Education
2021,Apple,North America,Accessories,AirPods,5824487,1316759,917,Education
2016,Apple,Asia-Pacific,Services,Apple Music,30249681,8756243,4473,Education
2014,Microsoft,South America,Cloud Services,Azure Subscriptions,27045213,8659765,7439,Enterprise
2020,Apple,Global,Services,iCloud,5995502,1974573,6848,Enterprise
2021,Apple,Africa,Services,iCloud,2105375,513758,3141,Retail
2022,Microsoft,Europe,Gaming,Xbox Consoles,7615067,2726517,3729,Education
2022,Apple,Global,Services,iCloud,35424208,14267362,6338,Small & Medium Business
2014,Microsoft,Africa,Cloud Services,Enterprise Solutions,14757160,2310544,5134,Education
2018,Microsoft,Africa,Hardware,Surface Devices,18089916,6850732,6578,Education
2023,Apple,Africa,Consumer Electronics,Tablets,26275437,8305146,1322,Enterprise
2017,Microsoft,Europe,Cloud Services,Enterprise Solutions,2361703,287454,8368,Retail
2020,Apple,Asia-Pacific,Wearables,Fitness Bands,23698030,4656250,8956,Retail
2017,Apple,Africa,Consumer Electronics,Smartphones,16963710,3618165,6488,Enterprise
2015,Microsoft,South America,Gaming,Xbox Consoles,46897974,6042426,5935,Small & Medium Business
2016,Microsoft,Europe,Software,Operating Systems,16524506,6799551,4275,Enterprise
2017,Apple,Global,Services,Apple Music,23305016,8919546,5488,Education
2014,Apple,Global,Wearables,Fitness Bands,28593827,11384719,8108,Enterprise
2017,Apple,Global,Wearables,Apple Watch,39509841,19112474,7603,Retail
2018,Apple,Africa,Services,iCloud,18772775,3933284,1589,Small & Medium Business
2022,Apple,North America,Services,Apple Music,19281124,3714251,2505,Retail
2015,Apple,Global,Accessories,Chargers,9913387,3626904,3554,Small & Medium Business
2018,Microsoft,Asia-Pacific,Gaming,Xbox Consoles,34171594,11142371,1914,Education
2022,Microsoft,South America,Software,Operating Systems,12197043,1830134,7229,Small & Medium Business
2015,Microsoft,Europe,Hardware,PC Accessories,16729729,8325544,738,Education
2018,Microsoft,Africa,Cloud Services,Enterprise Solutions,5709041,2471260,4500,Retail
2022,Apple,Africa,Wearables,Apple Watch,12287746,5386894,4611,Education
2021,Apple,Asia-Pacific,Consumer Electronics,Tablets,41146922,6656813,8120,Retail
2014,Microsoft,Asia-Pacific,Cloud Services,Enterprise Solutions,20944629,3249348,3438,Retail
2018,Apple,Africa,Accessories,AirPods,48811553,16620634,3655,Small & Medium Business
2018,Apple,Africa,Accessories,AirPods,41455855,9602951,2898,Education
2023,Apple,Africa,Accessories,Chargers,48449220,16649784,8911,Small & Medium Business
2017,Apple,South America,Services,Apple Music,28477822,7176377,7160,Enterprise
2016,Apple,North America,Accessories,Chargers,19503279,3694898,2061,Small & Medium Business
2022,Microsoft,Global,Hardware,PC Accessories,47645560,21189694,7743,Education
2014,Apple,Africa,Services,Apple Music,49303537,17648982,561,Small & Medium Business
2018,Apple,Asia-Pacific,Wearables,Apple Watch,14291278,2023298,8865,Education
2020,Apple,Europe,Accessories,Chargers,8665103,1623608,173,Retail
2021,Apple,Africa,Services,Apple Music,37313027,10477112,9818,Enterprise
2019,Apple,Asia-Pacific,Accessories,AirPods,24272613,9461238,384,Enterprise
2014,Microsoft,Global,Cloud Services,Azure Subscriptions,9229165,2312801,8426,Small & Medium Business
2023,Apple,South America,Consumer Electronics,Tablets,47603936,7246112,2608,Retail
2019,Apple,Europe,Wearables,Apple Watch,22047243,4698090,1255,Enterprise
2021,Apple,Africa,Services,iCloud,982336,388676,8767,Enterprise
2017,Microsoft,North America,Software,Operating Systems,49798449,24569880,8210,Education
2016,Apple,Asia-Pacific,Services,Apple Music,28391674,5483016,1362,Education
2015,Microsoft,Global,Cloud Services,Azure Subscriptions,15135770,4098124,2405,Education
2015,Apple,Europe,Accessories,Chargers,6710429,1374788,7555,Education
2021,Apple,Africa,Accessories,Chargers,23852396,3515422,1566,Enterprise
2016,Apple,South America,Wearables,Apple Watch,30294698,7401258,6605,Enterprise
2015,Apple,Asia-Pacific,Services,Apple Music,17083080,5698297,3695,Education
2018,Microsoft,Asia-Pacific,Hardware,Surface Devices,43611098,10819587,1270,Retail
2017,Apple,Asia-Pacific,Accessories,Chargers,25852427,8462753,9272,Small & Medium Business
2018,Apple,North America,Services,Apple Music,18568475,6890259,5689,Small & Medium Business
2019,Microsoft,South America,Hardware,PC Accessories,23885661,7798165,2642,Retail
2021,Apple,Global,Accessories,AirPods,14552739,3084714,2968,Small & Medium Business
2014,Apple,South America,Accessories,AirPods,34875330,5833184,6554,Retail
2021,Microsoft,South America,Cloud Services,Azure Subscriptions,37325354,6259123,601,Education
2018,Apple,Global,Consumer Electronics,Smartphones,42641080,12063905,7618,Small & Medium Business
2015,Apple,Africa,Consumer Electronics,Tablets,25730868,4405427,5204,Education
2018,Apple,North America,Wearables,Fitness Bands,30785726,6550936,2182,Retail
2015,Apple,North America,Wearables,Apple Watch,10150243,4139041,7161,Small & Medium Business
2017,Apple,Europe,Wearables,Apple Watch,16239992,2109482,1033,Enterprise
2017,Apple,South America,Accessories,AirPods,44656409,18080987,6439,Education
2022,Microsoft,Europe,Hardware,PC Accessories,545929,167564,1909,Education
2018,Apple,Africa,Wearables,Fitness Bands,33590803,7149623,8911,Retail
2014,Microsoft,Europe,Software,Office Suite,1981009,946622,9982,Education
2019,Apple,Global,Accessories,Chargers,46285396,17723748,6980,Small & Medium Business
2015,Microsoft,Europe,Software,Operating Systems,35785678,13197527,4788,Enterprise
2018,Apple,Asia-Pacific,Consumer Electronics,Tablets,6708634,700588,3496,Enterprise
2022,Apple,South America,Services,iCloud,29939352,8723927,5113,Retail
2023,Microsoft,North America,Gaming,Xbox Consoles,31231584,11701544,8334,Education
2014,Microsoft,Europe,Gaming,Xbox Consoles,24654402,10538899,7031,Retail
2017,Apple,Europe,Wearables,Fitness Bands,28931591,3247546,5135,Small & Medium Business
2015,Microsoft,Europe,Hardware,PC Accessories,15263169,2262548,9570,Enterprise
2017,Apple,Europe,Consumer Electronics,Tablets,6844534,1952674,7225,Education
2020,Microsoft,North America,Gaming,Games,38166468,6830464,953,Retail
2023,Apple,Global,Consumer Electronics,Smartphones,33584864,6022224,6040,Retail
2023,Microsoft,Global,Software,Operating Systems,1939127,222262,2909,Retail
2019,Apple,South America,Services,iCloud,31264822,3610551,3575,Enterprise
2015,Apple,Global,Accessories,AirPods,34116629,10292003,6800,Enterprise
2016,Microsoft,Africa,Software,Office Suite,15635938,3947673,8121,Enterprise
2015,Microsoft,North America,Gaming,Xbox Consoles,39217945,5610664,1162,Enterprise
2020,Apple,Europe,Accessories,AirPods,18982350,7000489,7431,Enterprise
2015,Apple,North America,Accessories,Chargers,37317149,3976981,9876,Retail
2015,Microsoft,North America,Gaming,Xbox Consoles,5950446,1564133,7873,Education
2015,Apple,Africa,Wearables,Fitness Bands,16586972,1935082,3814,Enterprise
2017,Apple,Europe,Services,iCloud,27441375,9286132,2652,Enterprise
2022,Microsoft,Africa,Software,Operating Systems,45210655,21410165,2684,Enterprise
2017,Apple,South America,Wearables,Apple Watch,18573547,4344447,6884,Education
2021,Apple,Africa,Services,iCloud,19442283,7519454,9319,Education
2015,Apple,South America,Services,iCloud,15400142,4920406,4686,Education
2020,Microsoft,North America,Hardware,Surface Devices,2171133,270848,3428,Small & Medium Business
2021,Apple,North America,Wearables,Fitness Bands,33110025,7154347,6221,Enterprise
2019,Microsoft,Asia-Pacific,Software,Operating Systems,27762981,11085363,4382,Small & Medium Business
2017,Microsoft,Europe,Software,Operating Systems,27558831,7959838,2004,Small & Medium Business
2022,Microsoft,Europe,Cloud Services,Azure Subscriptions,16562178,6223002,9818,Retail
2014,Apple,South America,Consumer Electronics,Tablets,32825545,3670564,4472,Retail
2022,Microsoft,Africa,Hardware,PC Accessories,23536349,3100709,1120,Enterprise
2019,Microsoft,Africa,Software,Office Suite,16936241,5565625,7793,Retail
2018,Microsoft,Africa,Hardware,PC Accessories,35314428,11252851,5312,Retail
2014,Microsoft,North America,Hardware,Surface Devices,43247376,20862265,1621,Retail
2020,Apple,Global,Wearables,Apple Watch,21405725,3736841,4119,Enterprise
2020,Microsoft,Africa,Software,Office Suite,38295756,9891659,7203,Small & Medium Business
2023,Apple,Asia-Pacific,Services,iCloud,13612291,6105569,2866,Enterprise
2016,Apple,Europe,Services,iCloud,37763649,8501198,8077,Small & Medium Business
2023,Microsoft,North America,Gaming,Games,825126,239484,460,Education
2015,Apple,Europe,Consumer Electronics,Tablets,46527555,14946279,5330,Enterprise
2023,Microsoft,South America,Gaming,Xbox Consoles,5277571,1208857,7844,Retail
2014,Microsoft,North America,Gaming,Games,45300803,20642739,9607,Small & Medium Business
2020,Microsoft,South America,Software,Operating Systems,8551399,2483113,1036,Retail
2021,Apple,North America,Accessories,Chargers,20589407,8571871,3115,Small & Medium Business
2023,Microsoft,North America,Software,Operating Systems,31519326,4201913,7807,Retail
2017,Microsoft,Europe,Hardware,PC Accessories,603726,272393,8383,Education
2021,Microsoft,South America,Software,Operating Systems,27221552,12655299,9937,Retail
2016,Apple,Europe,Wearables,Fitness Bands,16883236,5042137,362,Enterprise
2022,Microsoft,Asia-Pacific,Gaming,Games,28466328,14001682,7765,Enterprise
2020,Microsoft,Africa,Software,Office Suite,9694843,4574099,1930,Enterprise
2015,Microsoft,Africa,Cloud Services,Azure Subscriptions,12177686,3117065,5237,Enterprise
2019,Microsoft,South America,Hardware,PC Accessories,18922110,7161365,2166,Small & Medium Business
2023,Apple,Africa,Accessories,AirPods,30848034,8527366,6973,Small & Medium Business
2017,Apple,South America,Accessories,Chargers,13166064,1766627,2151,Retail
2014,Microsoft,Global,Hardware,PC Accessories,11040206,3689352,1520,Retail
2019,Microsoft,Europe,Gaming,Games,19875393,4269886,2189,Retail
2017,Apple,Africa,Services,Apple Music,7127665,2512524,3989,Education
2021,Apple,Europe,Consumer Electronics,Tablets,25484391,3583938,3749,Education
2023,Microsoft,South America,Gaming,Games,40530320,19081673,1602,Small & Medium Business
2022,Microsoft,North America,Hardware,PC Accessories,15392561,2288803,4974,Retail
2020,Microsoft,North America,Gaming,Games,17328509,3177658,6781,Retail
2022,Microsoft,North America,Software,Operating Systems,37784558,17298193,9691,Education
2014,Apple,Africa,Wearables,Apple Watch,43148981,6857390,5641,Enterprise
2022,Microsoft,Europe,Hardware,Surface Devices,10388415,2409190,4335,Enterprise
2017,Microsoft,Asia-Pacific,Software,Operating Systems,4924276,1012628,5042,Education
2014,Microsoft,Europe,Cloud Services,Enterprise Solutions,2664960,839849,9822,Retail
2016,Apple,Asia-Pacific,Wearables,Fitness Bands,6280822,2221162,2512,Education
2019,Apple,Global,Accessories,AirPods,32151789,9106897,536,Enterprise
2016,Apple,Global,Consumer Electronics,Tablets,34338610,10672560,764,Small & Medium Business
2014,Apple,Africa,Services,iCloud,18171130,6460296,6480,Enterprise
2015,Apple,Asia-Pacific,Wearables,Apple Watch,42734987,8188441,1334,Small & Medium Business
2021,Apple,Asia-Pacific,Consumer Electronics,Smartphones,28062940,5143921,5161,Education
2015,Apple,North America,Consumer Electronics,Smartphones,14192710,3004391,2084,Retail
2022,Apple,Global,Services,iCloud,31805624,7563694,5220,Enterprise
2022,Apple,South America,Services,Apple Music,35409163,16313249,5873,Retail
2022,Microsoft,South America,Software,Office Suite,3197570,999833,6378,Education
2016,Apple,Africa,Accessories,AirPods,1490401,362294,5122,Retail
2016,Microsoft,South America,Hardware,PC Accessories,39059705,5254854,6140,Enterprise
2016,Microsoft,Asia-Pacific,Software,Operating Systems,11516545,1641324,5914,Retail
2022,Microsoft,South America,Hardware,PC Accessories,36500283,15642355,8495,Enterprise
2022,Microsoft,Asia-Pacific,Cloud Services,Azure Subscriptions,7990563,2062591,5694,Retail
2018,Microsoft,South America,Software,Operating Systems,14962175,6113622,9185,Retail
2014,Apple,Europe,Consumer Electronics,Smartphones,10410586,3641268,997,Education
2019,Apple,Africa,Consumer Electronics,Tablets,5567519,2367919,7772,Enterprise
2021,Apple,Europe,Services,iCloud,44004426,7604308,2253,Education
2019,Apple,Global,Services,Apple Music,2092697,243413,989,Retail
2021,Apple,Africa,Consumer Electronics,Tablets,42424519,7870968,9892,Enterprise
2021,Apple,Europe,Services,iCloud,34650528,4985047,8663,Education
2018,Apple,Asia-Pacific,Accessories,AirPods,558315,163671,8595,Retail
2022,Apple,Global,Accessories,Chargers,35096471,14476835,2539,Enterprise
2023,Apple,Asia-Pacific,Services,iCloud,29831519,9342686,2736,Education
2022,Microsoft,Europe,Gaming,Games,38701248,8726063,4048,Enterprise
2023,Microsoft,Asia-Pacific,Cloud Services,Azure Subscriptions,41920193,17980663,6022,Small & Medium Business
2023,Microsoft,Asia-Pacific,Gaming,Games,44514368,10334769,701,Small & Medium Business
2023,Apple,South America,Wearables,Fitness Bands,26115755,11721099,5672,Education
2018,Microsoft,North America,Gaming,Games,14982065,5417166,9306,Education
2022,Microsoft,Africa,Cloud Services,Enterprise Solutions,3848512,1647490,1604,Education
2018,Apple,Europe,Services,iCloud,36185459,6670509,6727,Retail
2022,Microsoft,Global,Cloud Services,Enterprise Solutions,48115533,6798731,5102,Retail
2016,Apple,Asia-Pacific,Accessories,Chargers,14546866,2050492,8005,Retail
2018,Microsoft,Global,Hardware,Surface Devices,7513699,2293373,6363,Enterprise
2023,Apple,Global,Consumer Electronics,Smartphones,16574650,3006793,4481,Retail
2015,Microsoft,North America,Gaming,Xbox Consoles,3870824,1392573,3701,Small & Medium Business
2023,Apple,North America,Wearables,Apple Watch,43534091,17474210,2965,Small & Medium Business
2017,Apple,Europe,Accessories,Chargers,49602276,8537705,9459,Small & Medium Business
2019,Apple,Asia-Pacific,Services,Apple Music,7194771,3135495,3490,Education
2022,Microsoft,Africa,Gaming,Games,42541157,8968445,3155,Retail
2014,Microsoft,Africa,Cloud Services,Enterprise Solutions,11953444,3888464,7898,Retail
2023,Apple,North America,Accessories,AirPods,18361188,6108540,1472,Retail
2019,Apple,Europe,Services,Apple Music,26934103,6907217,8346,Enterprise
2021,Apple,Global,Services,iCloud,6013075,2465723,466,Retail
2015,Apple,North America,Services,Apple Music,3829599,1735794,3875,Small & Medium Business
2020,Apple,South America,Wearables,Apple Watch,34943024,12916040,8100,Education
2023,Apple,Africa,Accessories,Chargers,4161830,1195900,1669,Enterprise
2014,Apple,North America,Wearables,Apple Watch,24081879,8886530,9158,Retail
2017,Apple,North America,Services,Apple Music,47521645,13717299,8867,Small & Medium Business
2022,Microsoft,Europe,Gaming,Xbox Consoles,25630709,7247767,6290,Retail
2021,Microsoft,North America,Software,Office Suite,30947415,15139414,5910,Retail
2018,Apple,Asia-Pacific,Wearables,Apple Watch,29633325,3575095,4668,Education
2015,Microsoft,Asia-Pacific,Hardware,PC Accessories,20287254,9257738,1975,Enterprise
2020,Microsoft,Asia-Pacific,Hardware,PC Accessories,30715806,3284776,3243,Small & Medium Business
2015,Microsoft,South America,Hardware,Surface Devices,29142363,9693313,2958,Education
2022,Apple,North America,Services,Apple Music,43158738,20017637,4428,Retail
2016,Apple,South America,Accessories,AirPods,41206630,11571500,684,Small & Medium Business
2016,Microsoft,North America,Hardware,PC Accessories,34527659,11704977,206,Retail
2022,Apple,Europe,Services,Apple Music,12108183,2843262,8954,Small & Medium Business
2022,Apple,Africa,Consumer Electronics,Smartphones,17713400,5583650,4883,Education
2019,Apple,Asia-Pacific,Consumer Electronics,Tablets,7747956,3840763,2055,Small & Medium Business
2021,Microsoft,South America,Cloud Services,Azure Subscriptions,18769351,3710869,5046,Small & Medium Business
2017,Microsoft,Global,Software,Operating Systems,17216973,1906767,1558,Education
2014,Apple,Europe,Services,Apple Music,6875191,2886258,1264,Enterprise
2017,Microsoft,Europe,Cloud Services,Enterprise Solutions,12496574,2946413,1428,Enterprise
2014,Apple,Africa,Wearables,Fitness Bands,36245322,6410836,9622,Retail
2015,Apple,Africa,Wearables,Fitness Bands,36581867,4162588,7200,Retail
2018,Microsoft,Europe,Gaming,Games,41245951,11404191,9603,Small & Medium Business
2023,Apple,South America,Consumer Electronics,Tablets,20221267,6534404,3830,Education
2014,Apple,South America,Consumer Electronics,Tablets,4101447,1409392,9860,Small & Medium Business
2022,Microsoft,North America,Software,Office Suite,36670192,6230353,9716,Enterprise
